bank,year,financials_status,board_status,ori_status,overall_status,manual_review_date,corrections,notes
Absa Bank Ghana PLC,2020,verified,verified,corrected,corrected_and_verified,2026-08-29,ORI8 corrected from 0 to 1; ORI score corrected from 87.5 to 100.0,"Financial values are verified from the 2020 statement pages in GHS thousands and normalized to absolute GHS: profit after tax 471,128,000; total assets 12,546,473,000; total liabilities 10,598,067,000; cash and cash equivalents 1,510,299,000. Board composition is verified at 8 directors and 4 independent non-executive directors. ORI3 is supported by the contingency funding plan aligned with country business resumption plans. ORI8 is supported by the Board Information Technology and Cyber Security Committee disclosure covering disaster recovery and response to incidents. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
Absa Bank Ghana PLC,2021,verified,verified,corrected,corrected_and_verified,2026-08-29,ORI8 corrected from 0 to 1; ORI score corrected from 87.5 to 100.0,"Financial values are verified from the 2021 statement pages in GHS thousands and normalized to absolute GHS: profit after tax 692,519,000; total assets 16,037,548,000; total liabilities 13,739,885,000; cash and cash equivalents 2,858,669,000. Board composition is verified at 8 directors and 5 independent directors. ORI3 is supported by the contingency funding plan aligned with country business resumption plans and restoration of payment systems after systems failure. ORI8 is supported by the Board Information Technology and Cyber Security Committee disclosure covering disaster recovery and response to incidents. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
Absa Bank Ghana PLC,2022,verified,verified,corrected,corrected_and_verified,2026-08-29,ORI8 corrected from 0 to 1; ORI score corrected from 87.5 to 100.0,"Financial values are verified from the 2022 statement pages in GHS thousands and normalized to absolute GHS: loss after tax -429,169,000; total assets 17,102,274,000; total liabilities 14,963,943,000; cash and cash equivalents 3,849,838,000. Board composition is verified at 8 directors and 5 independent directors. ORI3 is supported by the contingency funding plan aligned with country business resumption plans and restoration of payment systems after systems failure. ORI8 is supported by the Board Information Technology, Cyber Security and Payment Systems Committee disclosure covering disaster recovery and response to incidents. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
Absa Bank Ghana PLC,2023,verified,verified,corrected,corrected_and_verified,2026-08-29,ORI8 corrected from 0 to 1; ORI score corrected from 87.5 to 100.0,"Financial values are verified from the 2023 statement pages in GHS thousands and normalized to absolute GHS: profit after tax 1,136,695,000; total assets 21,490,932,000; total liabilities 18,515,621,000; cash and cash equivalents 8,438,363,000. Board composition is verified at 9 directors and 5 independent directors using the report's 56% independent non-executive directors statement; the named director table includes in-year appointments/resignation, so the percentage supports the year-end count. ORI3 is supported by the contingency funding plan aligned with country business resumption plans and restoration of payment systems after systems failure. ORI8 is supported by the Board Information Technology, Cyber Security and Payment Systems Committee disclosure covering disaster recovery and response to incidents. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
Absa Bank Ghana PLC,2024,verified,verified,corrected,corrected_and_verified,2026-08-29,ORI8 corrected from 0 to 1; ORI score corrected from 87.5 to 100.0,"Financial values are verified from the 2024 statement pages in GHS thousands and normalized to absolute GHS: profit after tax 1,194,729,000; total assets 27,341,756,000; total liabilities 23,163,726,000; cash and cash equivalents 9,847,398,000. Board composition is verified at 10 directors and 4 independent directors: chair plus three INEDs. ORI3 is supported by the contingency funding plan aligned with country business resumption plans and restoration of payment systems after systems failure. ORI8 is supported by the Board Information Technology, Cyber Security and Payment Systems Committee disclosure covering disaster recovery and response to incidents. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
Absa Bank Ghana PLC,2025,verified,verified,corrected,corrected_and_verified,2026-08-29,ORI8 corrected from 0 to 1; ORI score corrected from 87.5 to 100.0,"Financial values are verified from the 2025 statement pages in GHS thousands and normalized to absolute GHS: profit after tax 1,762,411,000; total assets 31,529,847,000; total liabilities 25,556,763,000; cash and cash equivalents 9,701,763,000. Board composition is verified at 11 directors and 4 independent directors: chair plus three INEDs. ORI3 is supported by the contingency funding plan aligned with country business resumption plans and restoration of payment systems after systems failure. ORI8 is supported by the Board Information Technology, Cyber Security and Payment Systems Committee disclosure covering disaster recovery and response to incidents. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
Access Bank (Ghana) PLC,2020,corrected,verified,corrected,corrected_and_verified,2026-08-30,"Cash and cash equivalents corrected from 1,056,929,000 to 973,734,000; ORI8 corrected from 0 to 1; ORI score corrected from 87.5 to 100.0","Financial values are verified from the 2020 statement pages in GHS thousands and normalized to absolute GHS: profit after tax 240,792,000; total assets 5,823,778,000; total liabilities 4,771,659,000; cash and bank balances 973,734,000. The prior cash value was the cash-flow statement's opening/2019 comparative cash figure, not the 2020 statement-of-financial-position cash line. Board composition is verified at 6 directors and 2 independent non-executive directors. ORI3 is supported by explicit Disaster Recovery site/business-continuity language. ORI8 is supported by the Board Cyber and Information Security Committee disclosure covering cyber security risk assessment, reported incidents and global cyber incidents. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
Access Bank (Ghana) PLC,2021,verified,verified,corrected,corrected_and_verified,2026-08-30,ORI8 corrected from 0 to 1; ORI score corrected from 87.5 to 100.0,"Financial values are verified from the 2021 statement pages in GHS thousands and normalized to absolute GHS: profit after tax 321,578,000; total assets 7,491,295,000; total liabilities 6,128,726,000; cash and cash equivalents 969,529,000. Board composition is verified at 9 directors and 5 independent directors: seven non-executive directors, one executive director and the Managing Director, with five independent. ORI3 is supported by explicit Business Continuity Plan wording. ORI8 is supported by the Board Cyber Security and Information Technology Committee disclosure covering reported incidents, global cyber incidents, preparedness to sustain incidents and mitigation measures. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
Access Bank (Ghana) PLC,2022,verified,verified,corrected,corrected_and_verified,2026-08-30,ORI8 corrected from 0 to 1; ORI score corrected from 87.5 to 100.0,"Financial values are verified from the 2022 statement pages in GHS thousands and normalized to absolute GHS: loss after tax -338,135,000; total assets 10,057,221,000; total liabilities 9,043,018,000; cash and cash equivalents 3,084,820,000. Board composition is verified at 11 directors and 5 independent directors: eight non-executive directors, two executive directors and the Managing Director, with five independent. ORI3 is supported by the Board Risk Management and Payment Systems Committee disclosure covering business continuity and contingency planning. ORI8 is supported by the Board Cyber Security and Information Technology Committee disclosure covering reported incidents, global cyber incidents, preparedness to sustain incidents and mitigation measures. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
Access Bank (Ghana) PLC,2023,verified,verified,corrected,corrected_and_verified,2026-08-30,ORI8 corrected from 0 to 1; ORI score corrected from 87.5 to 100.0,"Financial values are verified from the 2023 statement pages in GHS thousands and normalized to absolute GHS: profit after tax 618,465,000; total assets 12,304,262,000; total liabilities 10,901,525,000; cash and cash equivalents 2,657,202,000. Board composition is verified at 10 directors and 5 independent directors; the report states that five directors, representing 50% of the Board, are independent. ORI3 is supported by the Board Risk Management and Payment Systems Committee disclosure covering business continuity and contingency planning. ORI8 is supported by the Board Cyber Security and Information Technology Committee disclosure covering reported incidents, global cyber incidents, preparedness to sustain incidents and mitigation measures. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
