bank,year,ori_item,pass1_code,pass2_final_code,agreement_with_pass1,coding_method,pdf_page,matched_rule,evidence_excerpt,adjudication_status,source_file,third_pass_final_code,third_pass_pdf_page,third_pass_evidence_excerpt,third_pass_adjudication
Absa Bank Ghana PLC,2020,ORI1,1.0,1.0,True,independent_visual_review,81.0,manage(?:ment|s|d|ing)? (?:of )?operational risk,"ure, and from external factors other than credit, market and liquidity risks such as those arising from legal and regulatory requirements and generally accepted standards of corporate behaviour. Operational risks arise from all of the Bank’s operations and are faced by all business entities. The Bank’s objective is to manage operational risk so as to balance the avoidance of financial losses and damage to the Bank’s reputation with overall cost effectiveness and to avoid control procedures that restrict initiative and creativity. The primary responsibility for the development and implementation of controls to address operational risk is assigned to senior management within each business unit. This responsibility is supported by the development of overall Bank standards for the management of operational risk in the following areas: • requirements for a",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2020 - Annual Report.pdf,1.0,81.0,"ure, and from external factors other than credit, market and liquidity risks such as those arising from legal and regulatory requirements and generally accepted standards of corporate behaviour. Operational risks arise from all of the Bank’s operations and are faced by all business entities. The Bank’s objective is to manage operational risk so as to balance the avoidance of financial losses and damage to the Bank’s reputation with overall cost effectiveness and to avoid control procedures that restrict initiative and creativity. The primary responsibility for the development and implementation of controls to address operational risk is assigned to senior management within each business unit. This responsibility is supported by the development of overall Bank standards for the management of operational risk in the following areas: • requirements for a",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2020,ORI2,1.0,1.0,True,independent_visual_review,7.0,board risk (?:management )?committee,"ector Y Y Y Y Y Mrs. Frances Adu-Mante Non-Executive Director Y Y Y Y Y Mr. Garth Klintworth Non-Executive Director Y Y N/A N/A N/A Y – Present N/A – Not applicable due to resignation on 20 May 2020 The Board has delegated specific aspects of its mandate to its four sub-committees. They are: • Board Audit Committee, • Board Risk Committee • Board Remuneration Committee • Board Information Technology and Cyber Security Committee The Committees derive their authority from the Board with their respective mandates indicated in their Terms of Reference (ToR) which are reviewed annually. The Committees submit reports to the Board on a regular basis. Board Audit Committee The Board Audit Committee meets at least four times a year with the Bank’s senior management, the internal audit team and the external auditors to review among other things, the Bank’s f",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2020 - Annual Report.pdf,1.0,7.0,"ector Y Y Y Y Y Mrs. Frances Adu-Mante Non-Executive Director Y Y Y Y Y Mr. Garth Klintworth Non-Executive Director Y Y N/A N/A N/A Y – Present N/A – Not applicable due to resignation on 20 May 2020 The Board has delegated specific aspects of its mandate to its four sub-committees. They are: • Board Audit Committee, • Board Risk Committee • Board Remuneration Committee • Board Information Technology and Cyber Security Committee The Committees derive their authority from the Board with their respective mandates indicated in their Terms of Reference (ToR) which are reviewed annually. The Committees submit reports to the Board on a regular basis. Board Audit Committee The Board Audit Committee meets at least four times a year with the Bank’s senior management, the internal audit team and the external auditors to review among other things, the Bank’s f",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2020,ORI3,1.0,1.0,True,independent_visual_review,32.0,country business resumption plans,"The liquidity risk note states that the contingency funding plan is aligned with country business resumption plans, including decision-making authorities, communications and restoration of liquidity management and payment systems after a systems failure.",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2020 - Annual Report.pdf,1.0,32.0,"The liquidity risk note states that the contingency funding plan is aligned with country business resumption plans, including decision-making authorities, communications and restoration of liquidity management and payment systems after a systems failure.",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2020,ORI4,1.0,1.0,True,independent_visual_review,7.0,cyber security,"worth Non-Executive Director Y Y N/A N/A N/A Y – Present N/A – Not applicable due to resignation on 20 May 2020 The Board has delegated specific aspects of its mandate to its four sub-committees. They are: • Board Audit Committee, • Board Risk Committee • Board Remuneration Committee • Board Information Technology and Cyber Security Committee The Committees derive their authority from the Board with their respective mandates indicated in their Terms of Reference (ToR) which are reviewed annually. The Committees submit reports to the Board on a regular basis. Board Audit Committee The Board Audit Committee meets at least four times a year with the Bank’s senior management, the internal audit team and the external auditors to review among other things, the Bank’s financial matters, annual internal audit and compliance reports as well as the eff",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2020 - Annual Report.pdf,1.0,7.0,"worth Non-Executive Director Y Y N/A N/A N/A Y – Present N/A – Not applicable due to resignation on 20 May 2020 The Board has delegated specific aspects of its mandate to its four sub-committees. They are: • Board Audit Committee, • Board Risk Committee • Board Remuneration Committee • Board Information Technology and Cyber Security Committee The Committees derive their authority from the Board with their respective mandates indicated in their Terms of Reference (ToR) which are reviewed annually. The Committees submit reports to the Board on a regular basis. Board Audit Committee The Board Audit Committee meets at least four times a year with the Bank’s senior management, the internal audit team and the external auditors to review among other things, the Bank’s financial matters, annual internal audit and compliance reports as well as the eff",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2020,ORI5,1.0,1.0,True,independent_visual_review,7.0,control environment,"tive Directors of the Bank appointed by the Board. The members of the Committee are required to have a robust understanding of the nature of the business and an appropriate balance of skills and experience and in aggregate have sufficient accounting, audit and financial skills and techniques for assessing the risk and control environment. The Chairperson of the Committee is an Independent Non-Executive Director appointed by the Board. Should he/she be unable to attend any meeting, another Independent Non-Executive Director chairs the meeting. The Chairperson of the Board is not the Chairperson of the Audit Committee. The following are also mandatory invitees to the Committee’s meetings: Managing Director Finance Director Chief Internal Auditor Chief Operating Officer Chief Risk Officer Head of Compliance External Auditors 7 Restricted Internal",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2020 - Annual Report.pdf,1.0,7.0,"tive Directors of the Bank appointed by the Board. The members of the Committee are required to have a robust understanding of the nature of the business and an appropriate balance of skills and experience and in aggregate have sufficient accounting, audit and financial skills and techniques for assessing the risk and control environment. The Chairperson of the Committee is an Independent Non-Executive Director appointed by the Board. Should he/she be unable to attend any meeting, another Independent Non-Executive Director chairs the meeting. The Chairperson of the Board is not the Chairperson of the Audit Committee. The following are also mandatory invitees to the Committee’s meetings: Managing Director Finance Director Chief Internal Auditor Chief Operating Officer Chief Risk Officer Head of Compliance External Auditors 7 Restricted Internal",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2020,ORI6,1.0,1.0,True,independent_visual_review,7.0,chief internal auditor,"tor appointed by the Board. Should he/she be unable to attend any meeting, another Independent Non-Executive Director chairs the meeting. The Chairperson of the Board is not the Chairperson of the Audit Committee. The following are also mandatory invitees to the Committee’s meetings: Managing Director Finance Director Chief Internal Auditor Chief Operating Officer Chief Risk Officer Head of Compliance External Auditors 7 Restricted Internal",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2020 - Annual Report.pdf,1.0,7.0,"tor appointed by the Board. Should he/she be unable to attend any meeting, another Independent Non-Executive Director chairs the meeting. The Chairperson of the Board is not the Chairperson of the Audit Committee. The following are also mandatory invitees to the Committee’s meetings: Managing Director Finance Director Chief Internal Auditor Chief Operating Officer Chief Risk Officer Head of Compliance External Auditors 7 Restricted Internal",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2020,ORI7,1.0,1.0,True,independent_visual_review,7.0,compliance (?:function|department|monitoring|framework|reports?),"lly. The Committees submit reports to the Board on a regular basis. Board Audit Committee The Board Audit Committee meets at least four times a year with the Bank’s senior management, the internal audit team and the external auditors to review among other things, the Bank’s financial matters, annual internal audit and compliance reports as well as the effectiveness of the Bank’s systems of internal control. Membership comprises of not less than three and no more than five Independent Non-Executive Directors of the Bank appointed by the Board. The members of the Committee are required to have a robust understanding of the nature of the business and an appropriate balance of skills and experience and in aggregate have sufficient accounting, audit and financial skills and techniques for assessing the risk and control environment. The Chairperson of",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2020 - Annual Report.pdf,1.0,7.0,"lly. The Committees submit reports to the Board on a regular basis. Board Audit Committee The Board Audit Committee meets at least four times a year with the Bank’s senior management, the internal audit team and the external auditors to review among other things, the Bank’s financial matters, annual internal audit and compliance reports as well as the effectiveness of the Bank’s systems of internal control. Membership comprises of not less than three and no more than five Independent Non-Executive Directors of the Bank appointed by the Board. The members of the Committee are required to have a robust understanding of the nature of the business and an appropriate balance of skills and experience and in aggregate have sufficient accounting, audit and financial skills and techniques for assessing the risk and control environment. The Chairperson of",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2020,ORI8,1.0,1.0,True,independent_visual_review,9.0,disaster recovery; respond to incidents,"The Board Information Technology and Cyber Security Committee disclosure states that management has systems, policies, controls and procedures to identify, manage and mitigate cybersecurity, privacy and disaster-recovery risks, respond to incidents and protect critical infrastructure assets.",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2020 - Annual Report.pdf,1.0,9.0,"The Board Information Technology and Cyber Security Committee disclosure states that management has systems, policies, controls and procedures to identify, manage and mitigate cybersecurity, privacy and disaster-recovery risks, respond to incidents and protect critical infrastructure assets.",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2021,ORI1,1.0,1.0,True,independent_visual_review,89.0,manage(?:ment|s|d|ing)? (?:of )?operational risk,"ure, and from external factors other than credit, market and liquidity risks such as those arising from legal and regulatory requirements and generally accepted standards of corporate behaviour. Operational risks arise from all of the Bank’s operations and are faced by all business entities. The Bank’s objective is to manage operational risk so as to balance the avoidance of financial losses and damage to the Bank’s reputation with overall cost effectiveness and to avoid control procedures that restrict initiative and creativity. The primary responsibility for the development and implementation of controls to address operational risk is assigned to senior management within each business unit. This responsibility is supported by the development of overall Bank standards for the management of operational risk in the following areas: • requirements for a",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2021 - Annual Report.pdf,1.0,89.0,"ure, and from external factors other than credit, market and liquidity risks such as those arising from legal and regulatory requirements and generally accepted standards of corporate behaviour. Operational risks arise from all of the Bank’s operations and are faced by all business entities. The Bank’s objective is to manage operational risk so as to balance the avoidance of financial losses and damage to the Bank’s reputation with overall cost effectiveness and to avoid control procedures that restrict initiative and creativity. The primary responsibility for the development and implementation of controls to address operational risk is assigned to senior management within each business unit. This responsibility is supported by the development of overall Bank standards for the management of operational risk in the following areas: • requirements for a",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2021,ORI2,1.0,1.0,True,independent_visual_review,7.0,board risk (?:management )?committee,"igible to attend subsequent meetings in the year. • Mr Clinton Clarke was appointed effective 14th May 2021 and thus not eligible to attend the first two meetings in the year. Board Committees The Board has delegated specific aspects of its mandate to its four sub-committees, namely: • The Board Audit Committee; • The Board Risk Committee; • The Board Remuneration Committee; and • The Board Information Technology and Cyber Security Committee The Sub-Committees derive their authority from the Board with their respective mandates indicated in their Terms of Reference (ToR) which are reviewed annually. These Sub-Committees submit reports to the Board on a regular basis. To also ensure the promotion of checks and balances in the governance structure of the Bank, the Board Chairperson does not serve as a chairperson of any of the Board’s sub-committees.",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2021 - Annual Report.pdf,1.0,7.0,"igible to attend subsequent meetings in the year. • Mr Clinton Clarke was appointed effective 14th May 2021 and thus not eligible to attend the first two meetings in the year. Board Committees The Board has delegated specific aspects of its mandate to its four sub-committees, namely: • The Board Audit Committee; • The Board Risk Committee; • The Board Remuneration Committee; and • The Board Information Technology and Cyber Security Committee The Sub-Committees derive their authority from the Board with their respective mandates indicated in their Terms of Reference (ToR) which are reviewed annually. These Sub-Committees submit reports to the Board on a regular basis. To also ensure the promotion of checks and balances in the governance structure of the Bank, the Board Chairperson does not serve as a chairperson of any of the Board’s sub-committees.",Retained after independent report-level cross-check.
